dataset,model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Diabetes,LogisticRegression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.8229629629629629
Diabetes,GaussianNB,0.7077922077922078,0.5737704918032787,0.6481481481481481,0.6086956521739131,0.7727777777777778
Diabetes,KNN,0.7012987012987013,0.5833333333333334,0.5185185185185185,0.5490196078431373,0.7404629629629629
Diabetes,DecisionTree,0.7727272727272727,0.6862745098039216,0.6481481481481481,0.6666666666666666,0.7451851851851854
Diabetes,RandomForest,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8146296296296297
Diabetes,GradientBoosting,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.8348148148148149
Diabetes,SVM,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7924074074074074
Diabetes,XGBoost,0.7207792207792207,0.6037735849056604,0.5925925925925926,0.5981308411214953,0.8018518518518518
Diabetes,LightGBM,0.7077922077922078,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.8098148148148149
Diabetes,CatBoost,0.7337662337662337,0.6382978723404256,0.5555555555555556,0.594059405940594,0.8198148148148149
Heart,LogisticRegression,0.9166666666666666,1.0,0.8214285714285714,0.9019607843137255,0.953125
Heart,GaussianNB,0.8666666666666667,1.0,0.7142857142857143,0.8333333333333334,0.9129464285714285
Heart,KNN,0.9,1.0,0.7857142857142857,0.88,0.959263392857143
Heart,DecisionTree,0.7833333333333333,0.8260869565217391,0.6785714285714286,0.7450980392156863,0.814174107142857
Heart,RandomForest,0.8666666666666667,0.9545454545454546,0.75,0.84,0.9497767857142857
Heart,GradientBoosting,0.8333333333333334,0.875,0.75,0.8076923076923077,0.9229910714285714
Heart,SVM,0.9,1.0,0.7857142857142857,0.88,0.9397321428571428
Heart,XGBoost,0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.9419642857142857
Heart,LightGBM,0.8333333333333334,0.875,0.75,0.8076923076923077,0.9341517857142857
Heart,CatBoost,0.9166666666666666,0.96,0.8571428571428571,0.9056603773584906,0.9765625
Liver,LogisticRegression,0.7350427350427351,0.7407407407407407,0.963855421686747,0.837696335078534,0.8306165839829908
Liver,GaussianNB,0.6410256410256411,0.9767441860465116,0.5060240963855421,0.6666666666666666,0.7994330262225372
Liver,KNN,0.6837606837606838,0.7395833333333334,0.8554216867469879,0.7932960893854749,0.7034018426647768
Liver,DecisionTree,0.6581196581196581,0.7171717171717171,0.8554216867469879,0.7802197802197802,0.6642452161587526
Liver,RandomForest,0.7350427350427351,0.7549019607843137,0.927710843373494,0.8324324324324325,0.7562012756909992
Liver,GradientBoosting,0.7264957264957265,0.7741935483870968,0.8674698795180723,0.8181818181818182,0.7342310418143161
Liver,SVM,0.7094017094017094,0.7094017094017094,1.0,0.83,0.6814316087880934
Liver,XGBoost,0.7350427350427351,0.7708333333333334,0.891566265060241,0.8268156424581006,0.7232459248759745
Liver,LightGBM,0.7350427350427351,0.7708333333333334,0.891566265060241,0.8268156424581006,0.7820694542877391
Liver,CatBoost,0.7094017094017094,0.7378640776699029,0.9156626506024096,0.8172043010752689,0.7728561304039687
