iter	Logloss
0	0.6857545274
1	0.6783567242
2	0.6701738805
3	0.6626932261
4	0.6553908649
5	0.6495970189
6	0.6420847226
7	0.6373974802
8	0.6314768477
9	0.6262191345
10	0.6195863438
11	0.612737557
12	0.6074320096
13	0.6013269798
14	0.5949191069
15	0.5916929305
16	0.588122161
17	0.582042113
18	0.5773835028
19	0.5718736786
20	0.5682082281
21	0.5641806801
22	0.5592608308
23	0.5546097691
24	0.5493870818
25	0.5440032559
26	0.5391240881
27	0.5343846001
28	0.5298732564
29	0.5252539776
30	0.5207850307
31	0.5167569405
32	0.5122769449
33	0.5075549048
34	0.5036117504
35	0.4999410895
36	0.4962862691
37	0.492818479
38	0.4894792777
39	0.4862133642
40	0.484210873
41	0.4805778906
42	0.4775335188
43	0.4742776002
44	0.470324084
45	0.4676998046
46	0.4647999713
47	0.4614660921
48	0.4581776065
49	0.4551952393
50	0.4532404175
51	0.4502968099
52	0.4466797664
53	0.4434507829
54	0.4406369816
55	0.4378992153
56	0.4351883282
57	0.4334735023
58	0.4300315159
59	0.427335763
60	0.4254589664
61	0.4225916905
62	0.4212367756
63	0.4196281405
64	0.417870296
65	0.4151001849
66	0.4136549571
67	0.4108500966
68	0.4095207206
69	0.4076499054
70	0.40560537
71	0.402878249
72	0.3996745403
73	0.3968529658
74	0.3942549402
75	0.3914899471
76	0.3890712183
77	0.3868018706
78	0.3850572129
79	0.3837233978
80	0.3818356991
81	0.3801008516
82	0.3777465315
83	0.3758545309
84	0.3740949958
85	0.3728251231
86	0.3707185466
87	0.3691525183
88	0.3676417649
89	0.3669352944
90	0.3650216649
91	0.3640212077
92	0.3621808502
93	0.3605138058
94	0.3587070477
95	0.3569775563
96	0.3547542171
97	0.3527256426
98	0.3511774857
99	0.350039796
100	0.3486908312
101	0.3473447189
102	0.3456095865
103	0.3435156516
104	0.3421029823
105	0.3411539899
106	0.3393702577
107	0.3384228346
108	0.3373306431
109	0.336701028
110	0.3351228589
111	0.3334870509
112	0.3320555707
113	0.3306179192
114	0.3295547333
115	0.3287037536
116	0.3275399434
117	0.3265666444
118	0.3242079804
119	0.3222884765
120	0.3211079428
121	0.319444086
122	0.3189142726
123	0.3176146876
124	0.3166409816
125	0.3152828604
126	0.3138859956
127	0.3125369413
128	0.3116086374
129	0.3102160768
130	0.3087108819
131	0.3073224428
132	0.306052055
133	0.3047766218
134	0.3034920793
135	0.302041178
136	0.3008283301
137	0.2998894689
138	0.2987687105
139	0.2976118382
140	0.296257014
141	0.2947685925
142	0.2939677636
143	0.2925896393
144	0.291851173
145	0.2906792601
146	0.2896490117
147	0.2882134205
148	0.2870365904
149	0.2860040549
150	0.2847594254
151	0.2834604214
152	0.282660425
153	0.2814686701
154	0.2805272301
155	0.2796874816
156	0.2784480193
157	0.2772983479
158	0.27664298
159	0.2760175421
160	0.2752951132
161	0.2742725923
162	0.2737195009
163	0.2729912986
164	0.2722043503
165	0.2712714144
166	0.2705745994
167	0.2695554897
168	0.2688242403
169	0.2678697527
170	0.2670600736
171	0.2662624141
172	0.265814498
173	0.2648205008
174	0.2641954774
175	0.2628219173
176	0.2623811206
177	0.2616312871
178	0.2604002641
179	0.2596034199
180	0.2585911605
181	0.2581670596
182	0.2573031162
183	0.2563090133
184	0.2560078841
185	0.2552176025
186	0.254692308
187	0.2540955508
188	0.252867342
189	0.2521673084
190	0.2517206035
191	0.2510569201
192	0.2503878487
193	0.2499679966
194	0.2493419808
195	0.2486063257
196	0.2480128093
197	0.2471079806
198	0.2460647741
199	0.2452555503
