iter	Passed	Remaining
0	2	490
1	4	451
2	9	635
3	11	579
4	13	536
5	15	501
6	17	481
7	19	468
8	23	493
9	25	487
10	27	479
11	30	470
12	31	459
13	33	448
14	35	442
15	40	470
16	42	456
17	44	448
18	46	442
19	48	436
20	50	429
21	54	439
22	57	440
23	60	440
24	62	436
25	64	430
26	66	426
27	72	445
28	74	440
29	76	433
30	78	428
31	80	423
32	82	418
33	88	430
34	90	426
35	92	421
36	94	416
37	96	411
38	98	407
39	101	407
40	103	401
41	105	398
42	107	394
43	109	389
44	112	385
45	114	381
46	118	385
47	121	383
48	123	379
49	125	375
50	126	369
51	128	365
52	132	368
53	135	366
54	137	362
55	139	358
56	141	354
57	143	350
58	145	347
59	149	349
60	152	346
61	154	343
62	155	338
63	157	335
64	160	332
65	165	336
66	167	333
67	170	330
68	171	325
69	173	322
70	175	319
71	181	322
72	183	319
73	186	316
74	188	313
75	190	310
76	197	315
77	199	312
78	201	309
79	203	305
80	205	302
81	207	299
82	212	299
83	214	296
84	216	292
85	218	289
86	220	286
87	222	283
88	226	283
89	228	279
90	230	276
91	233	274
92	235	271
93	237	267
94	242	267
95	244	264
96	246	261
97	248	259
98	251	256
99	253	253
100	259	254
101	261	251
102	264	248
103	266	245
104	268	242
105	271	241
106	275	239
107	277	236
108	279	233
109	281	230
110	283	227
111	286	224
112	289	222
113	291	219
114	293	217
115	295	214
116	297	211
117	300	208
118	304	206
119	306	204
120	309	201
121	311	198
122	312	195
123	314	192
124	319	191
125	322	189
126	324	186
127	326	183
128	328	181
129	331	178
130	335	176
131	337	174
132	340	171
133	342	168
134	344	165
135	346	163
136	351	161
137	353	159
138	356	156
139	358	153
140	360	150
141	362	148
142	367	146
143	369	143
144	372	141
145	374	138
146	376	135
147	378	133
148	383	131
149	386	128
150	388	125
151	390	123
152	392	120
153	394	117
154	397	115
155	400	112
156	402	110
157	404	107
158	406	104
159	408	102
160	412	100
161	415	97
162	417	94
163	419	92
164	422	89
165	424	86
166	431	85
167	434	82
168	436	80
169	438	77
170	445	75
171	448	72
172	450	70
173	452	67
174	454	64
175	459	62
176	461	60
177	464	57
178	466	54
179	468	52
180	470	49
181	475	47
182	477	44
183	480	41
184	482	39
185	484	36
186	486	33
187	490	31
188	493	28
189	496	26
190	498	23
191	500	20
192	502	18
193	507	15
194	509	13
195	512	10
196	514	7
197	516	5
198	518	2
199	522	0
