dataset,model,best_params,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Heart,LogisticRegression,"{""clf__C"": 0.05, ""clf__penalty"": ""l2"", ""clf__solver"": ""saga""}",0.9,1.0,0.7857142857142857,0.88,0.9419642857142857
Heart,GaussianNB,"{""clf__var_smoothing"": 1e-09}",0.8666666666666667,1.0,0.7142857142857143,0.8333333333333334,0.9129464285714285
Heart,KNN,"{""clf__n_neighbors"": 9, ""clf__p"": 1, ""clf__weights"": ""distance""}",0.85,1.0,0.6785714285714286,0.8085106382978723,0.9698660714285714
Heart,DecisionTree,"{""clf__criterion"": ""entropy"", ""clf__max_depth"": null, ""clf__min_samples_leaf"": 6, ""clf__min_samples_split"": 2}",0.8833333333333333,0.92,0.8214285714285714,0.8679245283018868,0.9034598214285714
Heart,RandomForest,"{""clf__max_depth"": null, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 4, ""clf__n_estimators"": 700}",0.85,0.9130434782608695,0.75,0.8235294117647058,0.9564732142857142
Heart,GradientBoosting,"{""clf__learning_rate"": 0.01, ""clf__max_depth"": 3, ""clf__n_estimators"": 200}",0.8333333333333334,0.875,0.75,0.8076923076923077,0.8984375
Heart,XGBoost,"{""clf__colsample_bytree"": 0.8, ""clf__learning_rate"": 0.01, ""clf__max_depth"": 7, ""clf__n_estimators"": 400, ""clf__subsample"": 0.6}",0.85,0.9130434782608695,0.75,0.8235294117647058,0.9575892857142857
Heart,LightGBM,"{""clf__learning_rate"": 0.1, ""clf__n_estimators"": 200, ""clf__num_leaves"": 31, ""clf__subsample"": 0.6}",0.8333333333333334,0.875,0.75,0.8076923076923077,0.9341517857142857
Heart,CatBoost,"{""clf__depth"": 6, ""clf__iterations"": 200, ""clf__learning_rate"": 0.01}",0.9333333333333333,1.0,0.8571428571428571,0.9230769230769231,0.9776785714285714
Heart,SVM,"{""clf__C"": 10, ""clf__gamma"": 0.001, ""clf__kernel"": ""rbf""}",0.9,1.0,0.7857142857142857,0.88,0.9341517857142857
